Name,Date,Title,Review,Rating,Type,Details,positive,negative,neutral,compound
string,string,string,string,1.0\ out\ of\ 5\ stars 2.0\ out\ of\ 5\ stars 3.0\ out\ of\ 5\ stars 4.0\ out\ of\ 5\ stars 5.0\ out\ of\ 5\ stars,Apple\ iPhone\ 13 Apple\ iPhone\ 14 Apple\ iPhone\ 14\ Pro\ Max Apple\ iPhone\ 15 Apple\ iPhone\ 15\ Pro Apple\ iPhone\ 15\ Pro\ Max,Colour:\ (PRODUCT)\ REDSize:\ 256\ GB Colour:\ Black\ TitaniumSize:\ 1\ TB Colour:\ Black\ TitaniumSize:\ 128\ GB Colour:\ Black\ TitaniumSize:\ 256\ GB Colour:\ Black\ TitaniumSize:\ 512\ GB Colour:\ BlackSize:\ 128\ GB Colour:\ Blue\ TitaniumSize:\ 1\ TB Colour:\ Blue\ TitaniumSize:\ 128\ GB Colour:\ Blue\ TitaniumSize:\ 256\ GB Colour:\ Blue\ TitaniumSize:\ 512\ GB Colour:\ BlueSize:\ 128\ GB Colour:\ BlueSize:\ 256\ GB Colour:\ GreenSize:\ 128\ GB Colour:\ GreenSize:\ 256\ GB Colour:\ MidnightSize:\ 128\ GB Colour:\ MidnightSize:\ 256\ GB Colour:\ Natural\ TitaniumSize:\ 1\ TB Colour:\ Natural\ TitaniumSize:\ 128\ GB Colour:\ Natural\ TitaniumSize:\ 256\ GB Colour:\ Natural\ TitaniumSize:\ 512\ GB Colour:\ PinkSize:\ 128\ GB Colour:\ PinkSize:\ 256\ GB Colour:\ PurpleSize:\ 128\ GB Colour:\ RedSize:\ 128\ GB Colour:\ StarlightSize:\ 128\ GB Colour:\ StarlightSize:\ 256\ GB Colour:\ White\ TitaniumSize:\ 1\ TB Colour:\ White\ TitaniumSize:\ 128\ GB Colour:\ White\ TitaniumSize:\ 256\ GB Colour:\ White\ TitaniumSize:\ 512\ GB Colour:\ YellowSize:\ 128\ GB No\ Details,continuous,continuous,continuous,continuous
meta,meta,meta title=True,meta,,,,,,,
Jnan Shetty,Reviewed in India on 30 December 2023,Using after 3 months honest review,"This is my first iPhone and it always feels good to hold this masterpiece. This looks premium not just because of its branding, it has everything which makes it feel premium. However, despite all the looks and finish, the transition from Android to Apple is not very smooth and you may constantly lack certain features that can make life easy. I was using vivo y19 Lite before this and still have that phone with me. Putting out the feature that is being missed by me-1. Forwarding Anything in Whatsapp: Forwarding anything in Whatsapp from IPhone takes bit more step as compared to what is being offered in Android. This makes the entire process slow for an Android User2. App Switcher: Apple could have easily made App Switcher easy with just light Swipe up, instead they made it with long pressed Swipe up. Why man, why.. You don't have any features for Swipe up, just make it easy to launch.3. Andorid Dialer is Always Missed: Every android has a basic feature, where you can search the contact directly from Phone Dialer, here Dialer is used for Dialing Number only and it will not suggest you similar contact from contacts or last Dial. This is really bad.. If you have to Dial a number directly, use Dialer.. If you have to dial someone from Recent Call log, shift to that and if you to dial someone from contact, shift to that. Man, all this can be done under one button, under dialer. Android user will miss this very badly.4. Sending Multiple Files in Whatsapp: If you wants to add more than 1 file directly from whatsapp, you have to do it twice. In Android, one can simple start selecting from whatspp itself and can select as many files as they wants and can send in a single click. Here for sending multiple files, you have to go to gallery or folder and select all files first and share it through whatsapp.5. No Swipe based shifting from Chats to Status and to calls: In Android Whatsapp, you can switch between Calls, Chats and Status by just swiping, here you have to press button of each.6. Contact Viewing: Contact list sorting method is still out of my mind. Man, make it easy. For example, if one of your contacts First Name or Middle Name or Last Name, any one of thing start with Alphabet ""A"", than it will be shown on top of the list. Apple, pls adopt any one method or at least allow us to customise it.7. Many Apps in Android are much more refined than its version on Apple.8. This is for those who had use Samsung Pay: Samsung Pay was one of the best app for making UPI or Card Payment, just swipe up from home screen of Samsung Phones (Only S Series) and the app is open for payment, I miss that here very badly.9. Lack of Dual Messenger Facility: You can't use two different WhatsApp numbers here in the same phone, as supported in all android right now.These are the issues that I face right now. Apart from this, the phone is good, the sound is loud and clear, it Feels Premium in Hand, the Touch is very good and Face ID works like a charm. Gesture control customisation is really good and you can customise a lot of things.",5.0 out of 5 stars,Apple iPhone 13,Colour: BlueSize: 128 GB,0.103,0.029,0.868,0.9913
Pankaj Kumar,Reviewed in India on 24 February 2024,Redefining Excellence: A Review of the iPhone 13 128GB,"The iPhone 13 128GB has surpassed my expectations in every aspect, setting a new standard for smartphone excellence. From its sleek design to its powerful performance and innovative features, this device has truly redefined what it means to own a premium smartphone.Design and Build Quality:The iPhone 13’s design is a masterpiece of craftsmanship, featuring a sleek aluminum frame and a stunning ceramic shield front cover. The device feels incredibly premium in hand, with its compact form factor and exquisite attention to detail. The IP68 water and dust resistance provide added durability and peace of mind, making it perfect for everyday use.Display:The Super Retina XDR display of the iPhone 13 is nothing short of breathtaking. The 6.1-inch OLED screen delivers vibrant colors, deep blacks, and excellent brightness levels, ensuring an immersive viewing experience for everything from streaming videos to browsing the web. The True Tone technology adapts the display to ambient lighting conditions, providing a comfortable viewing experience at all times.Performance:Powered by the A15 Bionic chip, the iPhone 13 delivers unparalleled performance and responsiveness. Apps launch instantly, animations are buttery smooth, and multitasking is a breeze, thanks to the efficient CPU and GPU. Whether it’s gaming, productivity tasks, or content creation, this device handles everything with ease, making it a true powerhouse in the palm of your hand.Camera:The camera system of the iPhone 13 is a true game-changer, capturing stunning photos and videos with remarkable clarity and detail. The dual-camera setup includes a 12MP wide and ultra-wide lens, with features such as Night mode, Deep Fusion, and Smart HDR 4 elevating photography to new heights. The addition of Cinematic mode adds a cinematic touch to video recordings, allowing users to unleash their creativity like never before.Battery Life:Battery life on the iPhone 13 is exceptional, easily lasting a full day with heavy usage. The efficient power management of the A15 chip, coupled with software optimizations, ensures long-lasting performance without compromising on productivity or entertainment. With MagSafe charging and fast charging support, staying powered up on the go has never been easier or more convenient.iOS Experience:As expected, the iPhone 13 runs on the latest version of iOS, providing a seamless and intuitive user experience. iOS 15 introduces a host of new features and improvements, including Focus mode, Live Text, and enhanced privacy controls, further enhancing the overall user experience and productivity.Conclusion:In conclusion, the iPhone 13 128GB is a true masterpiece of innovation and excellence, delivering an unparalleled experience that is sure to delight even the most discerning smartphone users. With its stunning design, powerful performance, innovative features, and exceptional battery life, it’s not just a smartphone - it’s a lifestyle upgrade. If you’re looking for the best of the best, look no further than the iPhone 13.",5.0 out of 5 stars,Apple iPhone 13,Colour: StarlightSize: 128 GB,0.256,0.013,0.73,0.999
Adeeb,Reviewed in India on 19 August 2024,Stunning Design and a Beautiful Pink!,"I finally upgraded from my trusty iPhone 5s to the iPhone 13, and let me tell you, it feels like I’ve time-traveled from the past to the future! The pink color is absolutely gorgeous—it's the perfect blend of subtle and stylish, making the phone look sleek and modern. I’ve received so many compliments on it already.The design is everything you’d expect from Apple: premium, well-crafted, and just a pleasure to hold. Coming from a 5s, it’s almost like I was using a rotary phone before this. I half-expected Siri to say, “Welcome to the 21st century!”The display is bright and vibrant, the camera is a huge leap forward, and the overall performance is incredibly smooth. It’s crazy how much has changed—face ID feels like magic, and the battery life is a dream compared to my old 5s, which needed a charger practically glued to it.If you’re thinking about upgrading, especially if you’re coming from a much older model like I was, don’t hesitate. This iPhone 13 in pink is a stunner and well worth the leap!",4.0 out of 5 stars,Apple iPhone 13,Colour: PinkSize: 128 GB,0.205,0.025,0.771,0.9856
manoj,Reviewed in India on 24 July 2024,Redefining Excellence: A Review of the iPhone 13 128GB,"The iPhone 13 128GB has surpassed my expectations in every aspect, setting a new standard for smartphone excellence. From its sleek design to its powerful performance and innovative features, this device has truly redefined what it means to own a premium smartphone.Design and Build Quality:The iPhone 13’s design is a masterpiece of craftsmanship, featuring a sleek aluminum frame and a stunning ceramic shield front cover. The device feels incredibly premium in hand, with its compact form factor and exquisite attention to detail. The IP68 water and dust resistance provide added durability and peace of mind, making it perfect for everyday use.Display:The Super Retina XDR display of the iPhone 13 is nothing short of breathtaking. The 6.1-inch OLED screen delivers vibrant colors, deep blacks, and excellent brightness levels, ensuring an immersive viewing experience for everything from streaming videos to browsing the web. The True Tone technology adapts the display to ambient lighting conditions, providing a comfortable viewing experience at all times.",5.0 out of 5 stars,Apple iPhone 13,Colour: BlueSize: 128 GB,0.271,0.013,0.716,0.9937
loading,Reviewed in India on 22 June 2024,Still one of best base flagships out there in 2024,"Things I liked:1. Solid Build Quality and very polished software (compared to Samsung's One UI)2. Camera:-Rear: Rear camera is pretty decent with good color accuracy in all lighting conditions. Videos are steady and smooth.3. Mic / Speakers: Mic is exceptionally well, isolates all background sounds in noisy situations. Speakers are crisp with good bass.4. Performance: This is where the phone shines, you can throw any app available on the App store and it will run it without breaking a sweat.5. Face Id works like charm, it's the best biometric phone lock out there undoubtedly.Things I wish were better:1. Battery life would have been better, I get up to 4.30 - 5 Hours SOT with mixed usage (high brightness, 1 hour calls, 2-3 hour social media, and 2 hour media playback/music)2. Charges Slow compared to my earlier Samsung. Takes almost 1.2 Hours from 20% to 80%3. Front camera is average, it fails to get correct skin tones and lighting. I keep it on default and still it produces over saturated photos.4. Dialer / phone app sucks. I am someone who makes up to 200 calls a day due to nature of my SCM work. Dialer on Samsung is far better. For unknown call you can add a note to the number in Samsung and it reflect when the person call you again, without having to save unnecessary contacts. Number pad does not detect contact unless complete number is typed.",5.0 out of 5 stars,Apple iPhone 13,Colour: PinkSize: 128 GB,0.147,0.056,0.797,0.9642
Jagmohan K.,Reviewed in India on 25 June 2024,Great Phone - Super Happy with My iPhone 13!,"I've been using the Apple iPhone 13 (Blue) for six months now, and it's been fantastic. Here's my take:Design:The blue color looks really cool and the phone feels premium. It's sleek and comfortable to hold.Screen:The display is sharp and bright. Watching videos and scrolling through photos looks amazing.Speed:This phone is super fast. I've had no issues with lag, even when playing games or multitasking.Camera:The cameras are awesome. Photos come out clear and vibrant, and it works great in low light too. Video recording is top-notch. Battery:The battery life is solid. I get through a full day easily, even with heavy use. Fast charging is a nice plus.Software:iOS is smooth and easy to use. I love how well it works with my other Apple devices.Overall, the iPhone 13 is a great phone and I'm really happy with it. Definitely recommend it!",5.0 out of 5 stars,Apple iPhone 13,Colour: BlueSize: 128 GB,0.343,0.037,0.62,0.9949
vaibhav,Reviewed in India on 13 November 2023,"So Beautiful, So elegant, just looking like a wow.","I snagged the iPhone 13 during the Great Indian Festival for an unbeatable price of 45,000, and let me tell you, it's been a game-changer in every way!Screen: The display is absolutely stunning – crisp, vibrant, and the colors pop like never before. Watching videos or scrolling through photos is a treat for the eyes. No complaints here!Hanging: Zero issues with hanging or lagging. This phone handles multitasking like a champ. Switching between apps is smooth, and I haven't experienced any frustrating delays.Battery: The battery life is surprisingly impressive. I can go a full day with normal usage, and it still has juice left in the tank. No more anxiously searching for a charger midday – a definite win!Comfort: The sleek design makes it a pleasure to hold, and the phone is just the right weight. It feels premium and comfortable in my hand, making it a joy to use for extended periods.Image Quality: The camera on the iPhone 13 is a true standout. The photos are sharp, and the night mode is a game-changer for capturing memories in low light. Selfies have never looked this good!Color: I went for the classic Midnight color, and it's elegant and timeless. The finish adds a touch of sophistication, and it doesn't attract fingerprints like some other phones I've had in the past.In summary, getting the iPhone 13 during the Great Indian Festival was an absolute steal. From the incredible screen to the reliable battery life and stunning camera, it's exceeded my expectations. If you're on the fence, take the plunge – you won't be disappointed.",5.0 out of 5 stars,Apple iPhone 13,Colour: MidnightSize: 128 GB,0.234,0.062,0.704,0.9946
Kuldeep Singh,Reviewed in India on 11 August 2024,Awesome Product,After use of 1 week I’m write the review this is nice iPhone fast battery charging & good battery backup of 1 day’s.Thanks Amazon,5.0 out of 5 stars,Apple iPhone 13,Colour: MidnightSize: 128 GB,0.291,0,0.709,0.7506
